epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,845.535,0.60839,0.36522,0.92028,0.94421,0.93079,0.96543,0.80001,0.74849,0.35427,0.95069,0.000161467,0.000161467,0.000161467
43,865.837,0.59568,0.35914,0.91396,0.89745,0.95351,0.9643,0.78942,0.82219,0.37191,0.99403,0.000159454,0.000159454,0.000159454
44,885.4,0.60811,0.35626,0.91956,0.91857,0.9396,0.96744,0.79854,0.76314,0.36138,0.97783,0.000157441,0.000157441,0.000157441
45,906.183,0.60057,0.36258,0.91701,0.94276,0.92876,0.96644,0.81049,0.72954,0.35049,0.96405,0.000155428,0.000155428,0.000155428
46,925.733,0.60017,0.35956,0.92252,0.9352,0.90997,0.96442,0.79648,0.7624,0.37142,0.97855,0.000153415,0.000153415,0.000153415
47,947.149,0.59527,0.35565,0.91399,0.90293,0.93665,0.96641,0.80618,0.7744,0.35218,0.97725,0.000151402,0.000151402,0.000151402
48,967.297,0.57953,0.34372,0.90895,0.9308,0.90887,0.96526,0.81158,0.73438,0.34582,0.9543,0.000149389,0.000149389,0.000149389
49,987.022,0.57577,0.34522,0.91401,0.90543,0.94928,0.96488,0.80332,0.73801,0.33911,0.98611,0.000147376,0.000147376,0.000147376
50,1007.83,0.57661,0.34354,0.90543,0.89347,0.93987,0.95724,0.78856,0.82156,0.36827,0.97493,0.000145363,0.000145363,0.000145363
51,1027.6,0.56728,0.34037,0.90305,0.87557,0.95193,0.95988,0.79984,0.74499,0.33778,0.96363,0.00014335,0.00014335,0.00014335
52,1048.21,0.56107,0.33594,0.90163,0.9085,0.93086,0.97572,0.81509,0.72012,0.34073,0.95477,0.000141337,0.000141337,0.000141337
53,1068.28,0.56443,0.33908,0.90295,0.86089,0.93351,0.95865,0.79792,0.77433,0.3675,0.96419,0.000139324,0.000139324,0.000139324
54,1088.11,0.55486,0.33079,0.89912,0.95769,0.89422,0.96621,0.80055,0.745,0.33862,0.93778,0.000137311,0.000137311,0.000137311
55,1108.85,0.55575,0.32838,0.89272,0.95214,0.92468,0.97437,0.80388,0.74143,0.33668,0.94241,0.000135298,0.000135298,0.000135298
56,1128.61,0.54923,0.32711,0.89318,0.96389,0.88709,0.97318,0.79217,0.77879,0.35382,0.97714,0.000133285,0.000133285,0.000133285
57,1150.71,0.54644,0.325,0.89731,0.88242,0.91814,0.95869,0.79987,0.74326,0.35074,0.95108,0.000131272,0.000131272,0.000131272
58,1170.31,0.53703,0.32799,0.89609,0.84368,0.94873,0.96286,0.79237,0.78116,0.34959,0.97191,0.000129259,0.000129259,0.000129259
59,1190.95,0.54573,0.32828,0.89908,0.8651,0.94918,0.96186,0.79407,0.78953,0.35095,0.95521,0.000127246,0.000127246,0.000127246
60,1211.06,0.53462,0.31901,0.88807,0.95123,0.89291,0.97472,0.80905,0.75321,0.34885,0.95023,0.000125233,0.000125233,0.000125233
61,1230.82,0.51745,0.31668,0.88358,0.87137,0.95734,0.97775,0.81103,0.75123,0.3455,0.95131,0.00012322,0.00012322,0.00012322
62,1251.72,0.51872,0.31806,0.88878,0.9459,0.90757,0.97464,0.80318,0.76252,0.33872,0.94882,0.000121207,0.000121207,0.000121207
63,1271.47,0.52072,0.3167,0.88831,0.91528,0.93113,0.96487,0.79338,0.77203,0.34216,0.96771,0.000119194,0.000119194,0.000119194
64,1293.56,0.53178,0.31793,0.89185,0.86212,0.94693,0.96969,0.79648,0.80464,0.34869,0.96979,0.000117181,0.000117181,0.000117181
